CODGEO;NBMENFISC17;NBPERSMENFISC17;MED17;PIMP17;TP6017;TP60AGE117;TP60AGE217;TP60AGE317;TP60AGE417;TP60AGE517;TP60AGE617;TP60TOL117;TP60TOL217;PACT17;PTSA17;PCHO17;PBEN17;PPEN17;PPAT17;PPSOC17;PPFAM17;PPMINI17;PPLOGT17;PIMPOT17;D117;D917;RD17
02121;1791;4295;18800;43.1;18.2;;;26.3;;;;9.6;36.1;64.5;57.4;3.4;3.7;35.1;6.4;7.2;3.2;2.4;1.6;-13.2;10550;30700;2.9
02201;2104;4493;15840;31.8;30.5;54.6;38.9;39.3;32.4;;;10.7;47.9;52.2;44.3;3.5;4.4;37.6;8.5;14;3.5;6.5;4;-12.3;8860;27340;3.1
02202;2348;5497;14480;28.8;39.2;;49.7;47.6;43.3;19;;18.5;58.8;52.8;45.1;4.5;3.2;34.9;7.2;15.9;4.7;6.9;4.3;-10.8;8370;25210;3
02203;2762;6709;20600;52;13.7;;16.7;15.6;;;;7;28.1;73.7;60.4;3.1;10.2;26.4;10.7;5.8;2.7;1.8;1.3;-16.6;11230;34850;3.1
02301;4321;10161;18940;43.5;15.8;24.4;18;19.1;13.7;;;5.2;25.3;73.3;67.3;3.4;2.6;25.9;7.1;7.8;3.3;2.5;2;-14.1;11000;30940;2.8
02302;4110;8702;15770;31.2;32.3;44.2;43.6;41.7;34.4;19;;15.1;50;53.7;47.2;3.3;3.2;36.9;6.7;14.2;3.8;6.4;4;-11.5;8980;27020;3
02303;7697;17094;18420;41.9;21.9;33.7;30.4;27.6;19.4;13.1;;9.9;38.1;64.4;55.9;3.5;5;33.8;6.5;8.9;2.8;3.7;2.4;-13.6;9850;31650;3.2
02401;9782;22114;18940;47.9;19.9;30.6;27.1;23.2;20.6;11.3;;6.9;33.2;68.1;58.9;3.6;5.6;30.7;9.2;7.7;2.9;2.7;2.1;-15.7;10170;33480;3.3
02402;9584;21568;17190;36.3;25.3;39;33.3;31.3;25.5;12.3;10.2;9.2;42.6;60.4;53.6;4.1;2.7;34.4;5.3;11.7;3.7;4.8;3.2;-11.8;9580;28100;2.9
02403;12516;26252;17300;40.2;27.8;44.5;38.5;31.9;26.4;14.4;;7;41.1;62.9;55.3;3.6;4;32.6;7.1;11.6;3.2;5;3.4;-14.2;9110;31790;3.5
02404;18787;40809;18020;41.9;23.2;35.2;31.6;28.6;24.1;13.5;7.1;7;35.8;63.2;54.6;3.7;4.9;33.1;8.9;9.6;3;3.9;2.7;-14.8;9640;32410;3.4
02501;28373;61042;17510;40.4;25.4;38.1;33.7;32.2;24.8;14.3;8.5;8.3;40.4;63.1;54;3.5;5.6;33;7.4;11;3.1;4.8;3.1;-14.5;9340;31700;3.4
03101;1023;2011;19190;39.9;13.6;;;;;;;;;54.5;47.5;1.8;5.2;43.3;9.4;6.2;1.7;3.1;1.4;-13.4;11500;30890;2.7
03102;1146;2383;20060;44.3;15.2;;;;;;;;31.5;57.1;46.7;2.3;8.1;39.7;10.9;6.2;1.9;2.6;1.7;-13.9;10780;31900;3
03103;1158;2442;22400;56.3;8.7;;;;;;;;;59.4;47.7;2.3;9.4;41.1;16.4;3.2;1.1;1.3;0.8;-20.1;13100;41870;3.2
03104;1405;2919;18390;35.6;18.1;;;;;;;;28.2;59.1;49.4;3;6.7;36.1;10.6;6.9;2;2.9;2;-12.7;10790;31650;2.9
03105;1432;2984;19370;40.5;11.8;;;;;;;;24;56;48.2;2.6;5.2;40.1;11.6;5.9;1.8;2.7;1.4;-13.6;12120;30630;2.5
03106;1737;3501;18320;38.2;17.4;;;;;;;;32.1;54.1;46.7;3;4.4;41;9.9;7.9;2.3;3.4;2.2;-12.9;10330;29680;2.9
03107;2187;4805;19010;40.5;15.1;;;;;;;9.2;29.1;61.9;55.7;3;3.2;36.3;7.8;6.9;2.4;3;1.5;-12.9;11070;29790;2.7
03201;2426;4810;19010;40.9;15.4;;;22.1;;;;8.3;26.2;57;49.8;2.8;4.4;38.7;10.4;7.5;2.1;3.4;2;-13.6;11250;31840;2.8
03202;2632;5427;18870;38.2;16.1;;;21.2;;;;8.8;27.9;60.8;52.8;3.4;4.6;36.3;8.8;7.5;2.3;3.3;1.9;-13.4;10740;30680;2.9
03203;3522;6987;18990;39.4;17.6;;26;21.7;16.2;;;8.5;33.7;54.9;49;3.1;2.8;42.6;7.5;7.7;1.9;3.8;2;-12.7;10650;30030;2.8
03401;18284;35924;20170;48.8;15.5;30.2;21.9;18.6;15.6;8.2;6;5;29.1;61.3;53.8;2.7;4.8;37.2;9.9;7;1.9;3.1;2;-15.4;11000;34510;3.1
03501;27149;53792;19550;44.2;17.7;32.9;26.1;22.4;16.7;10.4;7.4;7.1;34.4;57.8;50.3;2.9;4.6;39.7;10;7.6;2;3.5;2.1;-15.1;10510;32830;3.1
03502;32770;63842;20100;46.3;16.1;28.4;23.1;20.9;16.5;10.2;7;6.8;31.2;57.1;48.7;3;5.4;40.9;11.5;6.5;1.7;3;1.8;-16;10860;35810;3.3
04101;1495;2997;20440;47.5;13.5;;;;;;;;19.8;62.3;49.5;3.4;9.4;35.3;13;4.7;1.8;1.8;1.1;-15.3;11710;36470;3.1
04102;1230;2839;19960;43.9;14.3;;;;;;;;27.2;68.5;59.8;4.3;4.4;30.7;8.8;5.5;2.2;2;1.3;-13.5;11380;33610;3
04103;1332;3011;20970;49.3;12.3;;;;;;;;20.7;65.9;57.8;3.5;4.6;34.1;10.7;4.2;1.7;1.4;1.1;-14.9;12130;36390;3
04104;1659;3725;19230;41.7;16.4;;;;;;;9.5;26.4;67.1;57.1;4;6;30.9;8.2;6.9;2.6;2.6;1.7;-13.1;10890;32440;3
04105;1632;4084;21350;54.3;11;;;;;;;;21.4;73.3;64.4;3.6;5.3;28.5;8.4;4.5;2.4;1.2;0.9;-14.7;12260;34020;2.8
04106;1652;3130;19510;48.3;16;;;;;;;;23.1;61.9;48.3;5;8.6;34.3;14.7;4.6;1.5;1.6;1.5;-15.5;11500;35030;3
04201;3084;6765;20670;47.6;13.8;;;18.3;;;;6.4;24.9;62.9;53.9;3.5;5.5;36.1;10.1;5.4;2.1;1.9;1.4;-14.5;11670;34500;3
04202;2798;5771;19070;43.4;18.9;;25;25;20.2;;;9.3;31;56.3;44.2;3.9;8.2;40.5;12.4;6.4;1.8;2.8;1.8;-15.6;10200;35770;3.5
04203;3412;7036;19810;44.3;15.4;;20;22.1;14.1;;;7.6;28.8;59.3;51.9;4.4;3;40.5;7.5;5.9;1.9;2.4;1.6;-13.2;11050;32090;2.9
04204;3424;7046;19310;44.1;19.1;;28.3;27.6;19.6;;;6.8;32.4;58.7;50.4;3.2;5.1;38.4;9.8;7.4;2.2;3;2.2;-14.3;10420;33830;3.2
04301;8360;16706;19950;47.7;17.1;26.2;26.1;21.5;15.3;10.5;11.4;5.5;28.8;60.7;52;2.9;5.8;37.9;9.7;7.3;2;3.2;2.1;-15.6;10530;34290;3.3
04401;13910;30556;20470;49;17.8;27;22.2;22.5;17.3;12.9;9;6.9;31.3;61;52.1;3.1;5.8;33.3;17.3;5.7;2;2.2;1.5;-17.3;10610;37970;3.6
05101;979;2233;19380;43.7;16.4;;;;;;;;28.2;67.5;57;3.5;7;32.9;8.9;5.2;2.2;1.6;1.4;-14.5;10880;31460;2.9
05102;1602;3302;19810;46.5;12.7;;;;;;;;20.6;65.4;50.7;4.8;9.9;32.1;12.4;4.5;1.9;1.5;1.1;-14.4;11740;32900;2.8
05103;1642;3304;19020;40.7;15.7;;;;;;;;30.2;54.3;47.9;3.3;3.1;43.8;7.9;6.7;2.2;2.6;1.9;-12.7;11020;30220;2.7
05104;1773;3564;19480;44.4;17.2;;;;;;;;30.3;55.5;48.6;3.1;3.8;41.3;10.5;6.2;1.9;2.7;1.6;-13.5;10610;32910;3.1
05201;3509;6831;20210;48.1;14.4;;;20.7;;;;6.3;24.9;56.7;45.1;4;7.6;41.1;12.6;4.8;1.6;1.8;1.4;-15.2;11290;34990;3.1
05301;7734;16140;20370;51.3;12.9;24.3;14.9;15.2;12.8;8.1;;7.1;20.2;68.4;56.6;4.1;7.7;32;10.9;4.8;1.8;1.7;1.3;-16.1;11810;35030;3
05401;18746;38848;20740;50.1;13.8;20.3;16;18.1;14.6;9.1;7.3;5;25.2;63.6;54.5;2.9;6.2;35.3;11.2;5.9;2;2.3;1.6;-16;11530;36050;3.1
06101;1018;2114;19980;43.8;16.6;;;;;;;;;64.3;55;2.9;6.4;36.4;8;5.5;1.6;2.7;1.2;-14.2;10190;33160;3.3
06102;937;2189;20180;50.6;14.3;;;;;;;;;72.7;65.7;3.9;3.1;26.7;10.2;5.4;2.2;2;1.2;-15;11450;32480;2.8
06103;1123;2842;21840;52.3;10.4;;;;;;;;18.4;78.3;70.9;3.3;4.1;23.7;10;4.1;2.1;1.2;0.8;-16.1;12410;36170;2.9
06104;1363;2755;19390;42.3;15.4;;;;;;;12.4;;62.9;54;2.9;6;34.6;11.7;5;1.9;2;1.1;-14.2;11160;33250;3
06105;1453;3611;22950;57.3;10.6;;;;;;;;;79.6;69.7;3.8;6.1;23.9;9.6;4;2.1;1.2;0.7;-17.1;12520;37180;3
06106;1680;4169;23470;58.6;10.5;;;;;;;7.3;21.1;71.9;61.5;3.7;6.7;30.8;11.8;3.4;1.7;1;0.7;-17.9;12540;38590;3.1
06107;1633;3705;21110;50.1;13.6;;;;;;;9.1;26;73.1;63.4;3.3;6.4;30.2;8.6;3.8;1.4;1.6;0.8;-15.7;11260;34430;3.1
06108;2046;5274;23250;59.1;8;;;;;;;5.3;16.6;79;69.5;2.8;6.7;25.1;9.7;3.8;2;1.2;0.6;-17.6;13470;37630;2.8
06501;35635;75471;22230;60.1;14.1;17.4;15.7;16.3;13.6;11.9;10.8;8.1;20.9;77.9;69.9;3.1;4.9;28.1;11.3;2.7;0.8;1.2;0.7;-20;11100;41130;3.7
06701;454085;966350;21580;55.4;15.7;22.2;18.1;17.9;16.2;12.7;10.6;7.8;25.4;71;61;3.4;6.6;30.1;13.7;4.8;1.6;2;1.2;-19.6;10770;41050;3.8
07101;1005;2201;18310;36;17.5;;;;;;;;37.5;59.6;51.3;3.3;5;35.5;10.2;6.8;2.3;2.8;1.7;-12.1;10570;29110;2.8
07102;1049;2044;18150;34.3;16.7;;;;;;;;28.5;52.6;43.5;2.6;6.5;42;11.4;6.6;1.8;2.9;1.9;-12.6;10660;31790;3
07103;1076;2302;18770;36.1;14.2;;;;;;;;;61.9;53.6;2.2;6.1;35.4;10.3;5.3;2;2;1.3;-12.9;11400;29570;2.6
07104;1321;2963;21950;54;7.3;;;;;;;;;72.5;62.7;2.3;7.5;31.6;7.7;3.9;2;1.1;0.8;-15.7;13650;35940;2.6
07105;1168;2820;21100;49.7;12;;;;;;;;23.1;75.2;69.4;2.8;3;26.2;6.1;5.7;3;1.4;1.3;-13.2;12050;32750;2.7
07106;1130;2518;19870;43.4;13.3;;;;;;;;26.3;63.3;56.2;3.8;3.3;34.5;9.6;6.2;2.4;2.2;1.6;-13.6;11130;30750;2.8
07107;1467;3029;19490;45.6;18.1;;;;;;;11.4;31.4;51.2;40.5;5.4;5.3;43.1;15.3;4.9;1.7;1.8;1.4;-14.5;10710;34960;3.3
07108;1558;3661;20920;48.6;9.1;;;;;;;;;70.4;61.3;4;5.1;30.1;8.6;4.7;2.5;1.3;0.9;-13.8;13180;33470;2.5
07109;1574;4056;22790;57.2;6.4;;;;;;;;;78.8;67.7;2.8;8.3;23.9;11.3;3.1;1.9;0.6;0.6;-17.1;14040;38770;2.8
07110;1681;3341;18240;38.5;24;;;37;;;;13.5;40.8;47.8;35.2;4.1;8.5;45.5;14.1;6.8;1.8;3;2;-14.2;9350;33210;3.6
07111;1715;3350;19910;46.2;12.7;;;;;;;;23.5;48;39;5.1;3.9;48.3;13.8;4.2;1.3;1.8;1.1;-14.3;11900;34350;2.9
07112;1659;3794;19100;41.1;16.6;;;;;;;;31.5;67.7;59.4;4.2;4.1;28.9;9.8;6.8;2.9;2.2;1.7;-13.2;10680;30120;2.8
07113;1535;3553;19970;45.1;13.5;;;;;;;;30.5;67.1;58.5;3.9;4.7;32.1;8.8;5.7;2.3;2.1;1.3;-13.7;11470;34110;3
07114;1879;3859;20400;45.6;10.4;;;;;;;;23.9;60.3;49.7;3.1;7.5;39.9;9.9;4.3;1.5;1.7;1.1;-14.4;12590;32330;2.6
